2024-03-22;32.04;33.63;499;843;0;1
2024-03-23;35.45;32.81;464;843;0;0
2024-12-31;49.17;38.58;584;843;1;1
2022-01-18;47.11;26.75;407;843;0;0
2021-07-07;42.22;48.46;548;843;0;0
2022-04-28;31.04;10.14;411;843;1;1
2024-07-11;44.55;22.42;642;843;0;1
2024-10-23;30.81;20.45;490;843;0;0
2022-06-28;59.25;44.82;640;843;0;0
2021-08-27;53.03;38.26;553;843;1;1
2024-08-14;42.68;31.83;712;843;1;0
2022-12-15;54.96;23.14;651;843;1;0
2020-12-24;37.03;38.11;434;843;1;1
2020-07-04;40.39;11.33;611;843;1;1
2024-03-31;48.71;17.53;679;843;1;0
2020-10-15;44.89;23.05;444;843;1;0
2024-03-30;35.43;22.73;423;843;1;0
2024-05-05;57.9;32.36;718;843;1;1
2020-09-27;48.02;37.6;573;843;0;1
2023-11-28;54.37;46.95;455;843;0;0
2023-10-26;37.92;32.45;637;843;0;0
2020-07-29;54.28;20.51;323;843;1;0
2024-05-11;39.55;41.29;503;843;1;0
2023-10-29;35.28;12.32;351;843;0;0
2020-11-18;40.73;28.94;538;843;1;0
2024-06-20;51.1;19.18;757;843;0;0
2024-06-09;30.98;28.75;832;843;0;1
2020-08-07;43.34;40.8;644;843;1;1
2021-04-17;31.59;39.39;469;843;1;0
2020-06-22;48.37;33.27;442;843;1;1
2021-05-07;31.68;44.39;479;843;1;0
2022-09-19;31.86;33.99;796;843;0;1
2024-08-02;57.44;23.16;875;843;0;1
2021-05-15;41.32;39.72;783;843;1;1
2023-12-31;38.33;11.71;865;843;0;1
2022-05-16;44.02;49.96;419;843;0;0
2023-03-26;42.2;42.41;873;843;1;0
2024-11-08;30.39;29.08;357;843;1;0
2023-11-29;36.39;31.33;771;843;0;0
2021-06-16;36.46;12.09;535;843;1;0
2024-09-24;48.82;21.15;538;843;0;0
2021-03-24;38.01;38.01;447;843;0;1
2023-06-27;43.24;46.11;354;843;0;0
2024-12-07;57.62;11.24;880;843;0;0
2024-09-20;55.85;29.74;718;843;0;0
2024-03-25;57.26;14.2;477;843;1;0
2024-12-28;30.55;23.39;423;843;0;0
2021-10-18;47.43;20.24;821;843;0;0
2025-04-05;52.07;43.27;774;843;1;1
2023-06-20;48.53;45.86;872;843;0;0
2020-11-07;48.98;13.35;577;843;0;0
2023-03-26;49.08;18.14;642;843;1;1
2023-09-25;58.89;32.06;598;843;1;1
2023-04-09;54.33;14.11;545;843;0;0
2025-05-21;41.49;41.59;844;843;0;1
2023-10-04;48.27;44.76;655;843;0;1
2023-01-29;40.3;13.15;330;843;1;1
2022-03-30;55.73;15.61;563;843;1;1
2022-04-23;57.8;34.97;433;843;1;0
2023-11-07;52.07;29.34;832;843;0;1
2025-05-07;33.39;21.43;854;843;1;0
2020-08-26;59.38;21.7;698;843;0;0
2020-10-04;34.96;10.49;773;843;1;1
2021-02-16;33.48;39.86;380;843;0;0
2024-06-28;54.09;11.58;356;843;0;0
2021-11-15;55.04;25.89;791;843;1;0
2024-12-25;46.52;19.78;454;843;0;0
2023-06-29;53.16;24.27;661;843;1;1
2023-07-02;32.58;19.42;856;843;1;1
2023-09-29;36.59;10.17;458;843;0;0
2024-10-23;54.94;47.23;590;843;1;1
2024-06-21;58.61;13.48;522;843;0;0
2022-02-20;45.22;38.0;753;843;1;0
2024-11-24;42.06;11.91;789;843;0;0
2020-07-03;30.53;17.3;301;843;0;0
2022-02-25;55.46;10.25;487;843;0;0
2023-08-27;35.43;13.96;415;843;0;1
2022-05-23;57.68;45.25;508;843;1;1
2023-03-28;37.08;31.27;802;843;0;1
2024-01-10;56.11;16.88;605;843;0;0
2022-06-29;48.67;28.02;304;843;1;1
2021-10-07;55.34;11.43;375;843;0;1
2023-07-08;57.98;40.01;342;843;1;1
2021-12-02;56.7;35.99;568;843;0;1
2022-04-25;54.63;44.94;475;843;0;0
2024-07-14;41.83;13.9;452;843;0;1
2023-12-14;43.14;16.36;610;843;1;1
2021-02-07;40.82;37.96;340;843;0;1
2023-08-05;55.53;17.58;631;843;0;0
2021-10-06;38.16;16.27;469;843;1;1
2021-10-27;49.56;42.59;669;843;0;0
2021-10-23;56.23;48.17;482;843;0;0
2023-01-12;34.8;16.33;608;843;1;1
2022-09-06;47.35;13.76;763;843;0;0
2020-10-09;56.86;11.12;483;843;0;1
2023-10-17;50.26;40.9;890;843;1;1
2023-11-18;52.41;25.84;598;843;0;0
2023-07-24;37.24;34.67;374;843;0;0
2024-09-13;32.8;28.18;700;843;1;0
2022-09-08;56.55;33.42;708;843;0;1
2021-04-20;57.37;47.64;663;843;0;1
2021-05-23;34.9;49.49;590;843;0;1
2022-04-11;34.8;43.49;394;843;0;0
2020-11-09;32.11;33.6;348;843;0;0
2021-02-02;41.37;43.51;731;843;1;1
2025-01-21;57.58;18.45;796;843;1;1
2022-02-27;54.96;42.02;833;843;0;0
2023-08-21;40.67;14.95;349;843;0;1
2025-04-28;44.85;43.46;488;843;0;0
2021-05-27;55.67;31.97;726;843;0;0
2021-12-07;40.32;47.28;328;843;0;1
2025-06-07;36.74;31.11;792;843;0;0
2025-04-10;51.21;27.9;485;843;0;1
2020-11-29;39.71;45.6;609;843;1;0
2025-04-06;42.86;23.08;792;843;0;0
2025-04-25;49.2;49.09;493;843;1;1
2024-10-15;35.66;34.58;677;843;0;1
2024-02-03;30.64;13.46;364;843;1;0
2020-08-19;45.36;17.18;398;843;1;0
2024-02-02;37.58;39.03;753;843;1;1
2023-05-31;32.28;33.87;352;843;1;0
2020-08-25;58.3;39.15;427;843;1;0
2025-03-28;31.22;43.23;697;843;1;1
2023-05-27;32.39;16.05;446;843;0;1
2021-02-16;45.36;29.81;718;843;0;1
2021-02-04;59.61;13.55;692;843;1;0
2021-01-13;53.49;29.53;743;843;1;1
2024-09-10;49.43;17.17;875;843;0;1
